#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1200 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:34.39 aq:27.17 tex:127913 mv:44509 misc:170 imb:3600 pmb:0 smb:0 d:- ref:;
in:2 out:1 type:P dur:2 cpbdur:2 q:35.34 aq:31.13 tex:2576 mv:1864 misc:1000 imb:24 pmb:208 smb:3368 d:- ref:0 ;
in:1 out:2 type:b dur:2 cpbdur:2 q:35.34 aq:35.25 tex:151 mv:292 misc:341 imb:1 pmb:41 smb:3558 d:s ref:0 ;
in:6 out:3 type:P dur:2 cpbdur:2 q:35.17 aq:28.46 tex:16701 mv:6610 misc:2489 imb:339 pmb:659 smb:2602 d:- ref:0 ;
in:4 out:4 type:B dur:2 cpbdur:2 q:35.25 aq:30.34 tex:1349 mv:1465 misc:762 imb:34 pmb:104 smb:3462 d:t ref:0 ;
in:3 out:5 type:b dur:2 cpbdur:2 q:35.29 aq:38.45 tex:306 mv:467 misc:507 imb:0 pmb:84 smb:3516 d:s ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:35.21 aq:31.75 tex:1055 mv:1156 misc:685 imb:27 pmb:87 smb:3486 d:- ref:0 ;
in:10 out:7 type:P dur:2 cpbdur:2 q:39.17 aq:31.43 tex:5597 mv:3841 misc:1650 imb:84 pmb:434 smb:3082 d:s ref:0 ;
in:8 out:8 type:B dur:2 cpbdur:2 q:37.17 aq:32.75 tex:1157 mv:1161 misc:786 imb:33 pmb:86 smb:3481 d:s ref:0 ;
in:7 out:9 type:b dur:2 cpbdur:2 q:36.17 aq:34.32 tex:140 mv:225 misc:403 imb:2 pmb:38 smb:3560 d:s ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:38.17 aq:42.38 tex:176 mv:201 misc:335 imb:0 pmb:24 smb:3576 d:- ref:0 ;
in:14 out:11 type:P dur:2 cpbdur:2 q:35.17 aq:27.91 tex:18827 mv:7985 misc:2892 imb:331 pmb:870 smb:2399 d:s ref:0 ;
in:12 out:12 type:B dur:2 cpbdur:2 q:37.17 aq:31.04 tex:563 mv:449 misc:580 imb:12 pmb:52 smb:3536 d:s ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:38.17 aq:32.31 tex:71 mv:57 misc:272 imb:4 pmb:2 smb:3594 d:s ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:36.17 aq:38.59 tex:51 mv:114 misc:299 imb:1 pmb:14 smb:3585 d:- ref:0 ;
in:18 out:15 type:P dur:2 cpbdur:2 q:29.41 aq:23.10 tex:106157 mv:20050 misc:2049 imb:1456 pmb:1638 smb:506 d:s ref:0 ;
in:16 out:16 type:B dur:2 cpbdur:2 q:32.29 aq:27.16 tex:2740 mv:2710 misc:1926 imb:57 pmb:357 smb:3186 d:t ref:0 ;
in:15 out:17 type:b dur:2 cpbdur:2 q:33.73 aq:28.69 tex:693 mv:810 misc:793 imb:34 pmb:74 smb:3492 d:s ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:30.85 aq:28.26 tex:644 mv:451 misc:921 imb:5 pmb:121 smb:3474 d:- ref:0 ;
in:22 out:19 type:P dur:2 cpbdur:2 q:27.76 aq:21.13 tex:120390 mv:21780 misc:1782 imb:1272 pmb:1993 smb:335 d:s ref:0 ;
in:20 out:20 type:B dur:2 cpbdur:2 q:28.58 aq:23.21 tex:15156 mv:9159 misc:3373 imb:228 pmb:1086 smb:2286 d:t ref:0 ;
in:19 out:21 type:b dur:2 cpbdur:2 q:28.99 aq:23.83 tex:7314 mv:4190 misc:2488 imb:150 pmb:527 smb:2923 d:s ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:28.17 aq:23.12 tex:10482 mv:6238 misc:2752 imb:264 pmb:641 smb:2695 d:- ref:0 ;
in:26 out:23 type:P dur:2 cpbdur:2 q:27.57 aq:21.19 tex:83514 mv:19901 misc:2241 imb:1116 pmb:1910 smb:574 d:s ref:0 ;
in:24 out:24 type:B dur:2 cpbdur:2 q:27.66 aq:22.70 tex:18025 mv:9907 misc:3252 imb:229 pmb:1142 smb:2229 d:s ref:0 ;
in:23 out:25 type:b dur:2 cpbdur:2 q:27.71 aq:22.82 tex:2216 mv:1812 misc:1988 imb:16 pmb:449 smb:3135 d:s ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:27.62 aq:22.45 tex:12687 mv:7163 misc:2806 imb:237 pmb:764 smb:2599 d:- ref:0 ;
in:30 out:27 type:P dur:2 cpbdur:2 q:27.93 aq:21.29 tex:73512 mv:20298 misc:2494 imb:1057 pmb:1909 smb:634 d:s ref:0 ;
in:28 out:28 type:B dur:2 cpbdur:2 q:27.75 aq:21.90 tex:34074 mv:15089 misc:3301 imb:354 pmb:1542 smb:1704 d:t ref:0 ;
in:27 out:29 type:b dur:2 cpbdur:2 q:27.66 aq:23.26 tex:1920 mv:2204 misc:2188 imb:18 pmb:523 smb:3059 d:s ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:27.84 aq:23.22 tex:13853 mv:8096 misc:2883 imb:277 pmb:789 smb:2534 d:- ref:0 ;
in:34 out:31 type:P dur:2 cpbdur:2 q:27.81 aq:20.87 tex:67769 mv:18075 misc:2972 imb:942 pmb:1714 smb:944 d:s ref:0 ;
in:32 out:32 type:B dur:2 cpbdur:2 q:27.87 aq:22.50 tex:37965 mv:14971 misc:3536 imb:307 pmb:1673 smb:1620 d:s ref:0 ;
in:31 out:33 type:b dur:2 cpbdur:2 q:27.90 aq:23.46 tex:12624 mv:8862 misc:3050 imb:254 pmb:865 smb:2481 d:s ref:0 ;
in:33 out:34 type:b dur:2 cpbdur:2 q:27.84 aq:24.15 tex:3486 mv:2674 misc:2264 imb:21 pmb:565 smb:3014 d:- ref:0 ;
in:38 out:35 type:P dur:2 cpbdur:2 q:28.23 aq:21.79 tex:53705 mv:16487 misc:3312 imb:775 pmb:1600 smb:1225 d:s ref:0 ;
in:36 out:36 type:B dur:2 cpbdur:2 q:28.02 aq:23.01 tex:15033 mv:8956 misc:3211 imb:197 pmb:945 smb:2458 d:t ref:0 ;
in:35 out:37 type:b dur:2 cpbdur:2 q:27.92 aq:23.25 tex:6981 mv:3874 misc:2097 imb:114 pmb:410 smb:3076 d:s ref:0 ;
in:37 out:38 type:b dur:2 cpbdur:2 q:28.13 aq:24.74 tex:4615 mv:2768 misc:1641 imb:24 pmb:356 smb:3220 d:- ref:0 ;
in:42 out:39 type:P dur:2 cpbdur:2 q:28.00 aq:21.41 tex:67188 mv:19537 misc:2771 imb:1069 pmb:1686 smb:845 d:s ref:0 ;
in:40 out:40 type:B dur:2 cpbdur:2 q:28.11 aq:22.94 tex:14931 mv:9821 misc:3160 imb:156 pmb:1011 smb:2433 d:s ref:0 ;
in:39 out:41 type:b dur:2 cpbdur:2 q:28.17 aq:24.78 tex:10264 mv:5145 misc:2159 imb:121 pmb:492 smb:2987 d:s ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:28.06 aq:23.33 tex:8182 mv:4751 misc:2139 imb:165 pmb:444 smb:2991 d:- ref:0 ;
in:46 out:43 type:P dur:2 cpbdur:2 q:27.68 aq:21.75 tex:36418 mv:15625 misc:3357 imb:858 pmb:1361 smb:1381 d:s ref:0 ;
in:44 out:44 type:B dur:2 cpbdur:2 q:27.84 aq:22.65 tex:14012 mv:8967 misc:3181 imb:182 pmb:913 smb:2505 d:t ref:0 ;
in:43 out:45 type:b dur:2 cpbdur:2 q:27.92 aq:25.11 tex:2764 mv:2173 misc:1471 imb:11 pmb:286 smb:3303 d:s ref:0 ;
in:45 out:46 type:b dur:2 cpbdur:2 q:27.76 aq:23.42 tex:6561 mv:3903 misc:2152 imb:103 pmb:442 smb:3055 d:- ref:0 ;
in:48 out:47 type:P dur:2 cpbdur:2 q:27.44 aq:22.81 tex:26917 mv:10310 misc:3285 imb:564 pmb:934 smb:2102 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:27.56 aq:24.10 tex:7850 mv:3062 misc:2112 imb:37 pmb:470 smb:3093 d:s ref:0 ;
in:49 out:49 type:I dur:2 cpbdur:2 q:26.01 aq:19.50 tex:522881 mv:70716 misc:227 imb:3600 pmb:0 smb:0 d:s ref:;
in:53 out:50 type:P dur:2 cpbdur:2 q:29.38 aq:22.00 tex:56201 mv:10828 misc:3315 imb:1064 pmb:994 smb:1542 d:s ref:0 ;
in:51 out:51 type:B dur:2 cpbdur:2 q:29.38 aq:24.03 tex:7651 mv:5184 misc:2701 imb:214 pmb:618 smb:2768 d:s ref:0 ;
in:50 out:52 type:b dur:2 cpbdur:2 q:29.38 aq:23.09 tex:3162 mv:2613 misc:1657 imb:142 pmb:221 smb:3237 d:s ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:29.38 aq:23.40 tex:1414 mv:1034 misc:1392 imb:28 pmb:269 smb:3303 d:- ref:0 ;
in:57 out:54 type:P dur:2 cpbdur:2 q:28.84 aq:21.27 tex:62250 mv:12312 misc:3102 imb:1060 pmb:1188 smb:1352 d:s ref:0 ;
in:55 out:55 type:B dur:2 cpbdur:2 q:29.11 aq:22.62 tex:9064 mv:6157 misc:2723 imb:286 pmb:661 smb:2653 d:s ref:0 ;
in:54 out:56 type:b dur:2 cpbdur:2 q:29.24 aq:23.78 tex:4479 mv:2917 misc:1644 imb:154 pmb:249 smb:3197 d:s ref:0 ;
in:56 out:57 type:b dur:2 cpbdur:2 q:28.97 aq:23.37 tex:5467 mv:4209 misc:2180 imb:177 pmb:486 smb:2937 d:- ref:0 ;
in:61 out:58 type:P dur:2 cpbdur:2 q:29.70 aq:22.37 tex:36419 mv:8490 misc:3307 imb:858 pmb:753 smb:1989 d:s ref:0 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:29.27 aq:23.64 tex:10252 mv:5464 misc:2684 imb:253 pmb:647 smb:2700 d:s ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:29.05 aq:23.37 tex:625 mv:684 misc:1219 imb:12 pmb:236 smb:3352 d:s ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:29.48 aq:23.83 tex:5208 mv:3722 misc:2038 imb:163 pmb:406 smb:3031 d:- ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:29.34 aq:22.21 tex:41622 mv:8577 misc:3497 imb:831 pmb:875 smb:1894 d:s ref:0 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:29.52 aq:23.00 tex:14736 mv:6473 misc:2807 imb:264 pmb:787 smb:2549 d:s ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:29.61 aq:23.79 tex:1083 mv:811 misc:1330 imb:18 pmb:243 smb:3339 d:s ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:29.43 aq:23.82 tex:5610 mv:4167 misc:2271 imb:166 pmb:459 smb:2975 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:28.85 aq:21.96 tex:49926 mv:9974 misc:3404 imb:906 pmb:1062 smb:1632 d:s ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:29.09 aq:22.80 tex:20051 mv:7772 misc:3089 imb:278 pmb:1010 smb:2312 d:s ref:0 ;
